USER         PID    PPID    PGID     SID STAT     ELAPSED COMMAND
root           2       0       0       0 S       04:27:19 [kthreadd]
root           3       2       0       0 S       04:27:19  \_ [pool_workqueue_release]
root           4       2       0       0 I<      04:27:19  \_ [kworker/R-rcu_gp]
root           5       2       0       0 I<      04:27:19  \_ [kworker/R-sync_wq]
root           6       2       0       0 I<      04:27:19  \_ [kworker/R-kvfree_rcu_reclaim]
root           7       2       0       0 I<      04:27:19  \_ [kworker/R-slub_flushwq]
root           8       2       0       0 I<      04:27:19  \_ [kworker/R-netns]
root          10       2       0       0 I<      04:27:19  \_ [kworker/0:0H-kblockd]
root          13       2       0       0 I<      04:27:19  \_ [kworker/R-mm_percpu_wq]
root          14       2       0       0 S       04:27:19  \_ [ksoftirqd/0]
root          15       2       0       0 I       04:27:19  \_ [rcu_preempt]
root          16       2       0       0 S       04:27:19  \_ [rcu_exp_par_gp_kthread_worker/0]
root          17       2       0       0 S       04:27:19  \_ [rcu_exp_gp_kthread_worker]
root          18       2       0       0 S       04:27:19  \_ [migration/0]
root          19       2       0       0 S       04:27:19  \_ [idle_inject/0]
root          20       2       0       0 S       04:27:19  \_ [cpuhp/0]
root          21       2       0       0 S       04:27:19  \_ [cpuhp/1]
root          22       2       0       0 S       04:27:19  \_ [idle_inject/1]
root          23       2       0       0 S       04:27:19  \_ [migration/1]
root          24       2       0       0 S       04:27:19  \_ [ksoftirqd/1]
root          26       2       0       0 I<      04:27:19  \_ [kworker/1:0H-kblockd]
root          27       2       0       0 S       04:27:19  \_ [cpuhp/2]
root          28       2       0       0 S       04:27:19  \_ [idle_inject/2]
root          29       2       0       0 S       04:27:19  \_ [migration/2]
root          30       2       0       0 S       04:27:19  \_ [ksoftirqd/2]
root          32       2       0       0 I<      04:27:19  \_ [kworker/2:0H-kblockd]
root          33       2       0       0 S       04:27:19  \_ [cpuhp/3]
root          34       2       0       0 S       04:27:19  \_ [idle_inject/3]
root          35       2       0       0 S       04:27:19  \_ [migration/3]
root          36       2       0       0 S       04:27:19  \_ [ksoftirqd/3]
root          38       2       0       0 I<      04:27:19  \_ [kworker/3:0H-kblockd]
root          39       2       0       0 S       04:27:19  \_ [cpuhp/4]
root          40       2       0       0 S       04:27:19  \_ [idle_inject/4]
root          41       2       0       0 S       04:27:19  \_ [migration/4]
root          42       2       0       0 S       04:27:19  \_ [ksoftirqd/4]
root          44       2       0       0 I<      04:27:19  \_ [kworker/4:0H-kblockd]
root          45       2       0       0 S       04:27:19  \_ [cpuhp/5]
root          46       2       0       0 S       04:27:19  \_ [idle_inject/5]
root          47       2       0       0 S       04:27:19  \_ [migration/5]
root          48       2       0       0 S       04:27:19  \_ [ksoftirqd/5]
root          50       2       0       0 I<      04:27:19  \_ [kworker/5:0H-kblockd]
root          51       2       0       0 S       04:27:19  \_ [cpuhp/6]
root          52       2       0       0 S       04:27:19  \_ [idle_inject/6]
root          53       2       0       0 S       04:27:19  \_ [migration/6]
root          54       2       0       0 S       04:27:19  \_ [ksoftirqd/6]
root          56       2       0       0 I<      04:27:19  \_ [kworker/6:0H-kblockd]
root          57       2       0       0 S       04:27:19  \_ [cpuhp/7]
root          58       2       0       0 S       04:27:19  \_ [idle_inject/7]
root          59       2       0       0 S       04:27:19  \_ [migration/7]
root          60       2       0       0 S       04:27:19  \_ [ksoftirqd/7]
root          62       2       0       0 I<      04:27:19  \_ [kworker/7:0H-kblockd]
root          63       2       0       0 S       04:27:19  \_ [kdevtmpfs]
root          64       2       0       0 I<      04:27:19  \_ [kworker/R-inet_frag_wq]
root          65       2       0       0 I       04:27:19  \_ [rcu_tasks_kthread]
root          66       2       0       0 I       04:27:19  \_ [rcu_tasks_rude_kthread]
root          67       2       0       0 S       04:27:19  \_ [kauditd]
root          68       2       0       0 S       04:27:19  \_ [khungtaskd]
root          69       2       0       0 S       04:27:19  \_ [oom_reaper]
root          71       2       0       0 I<      04:27:19  \_ [kworker/R-writeback]
root          72       2       0       0 S       04:27:19  \_ [kcompactd0]
root          73       2       0       0 SN      04:27:19  \_ [ksmd]
root          74       2       0       0 SN      04:27:19  \_ [khugepaged]
root          75       2       0       0 I<      04:27:19  \_ [kworker/R-kblockd]
root          76       2       0       0 I<      04:27:19  \_ [kworker/R-blkcg_punt_bio]
root          77       2       0       0 I<      04:27:19  \_ [kworker/R-kintegrityd]
root          80       2       0       0 S<      04:27:19  \_ [pr/ttyAMA-1]
root          81       2       0       0 I<      04:27:19  \_ [kworker/R-tpm_dev_wq]
root          82       2       0       0 I<      04:27:19  \_ [kworker/R-ata_sff]
root          83       2       0       0 I<      04:27:19  \_ [kworker/R-md_bitmap]
root          84       2       0       0 I<      04:27:19  \_ [kworker/R-md_llbitmap_io]
root          85       2       0       0 I<      04:27:19  \_ [kworker/R-md_llbitmap_unplug]
root          86       2       0       0 I<      04:27:19  \_ [kworker/R-edac-poller]
root          87       2       0       0 I<      04:27:19  \_ [kworker/R-devfreq_wq]
root          88       2       0       0 S       04:27:19  \_ [watchdogd]
root          89       2       0       0 I<      04:27:19  \_ [kworker/R-quota_events_unbound]
root          91       2       0       0 S       04:27:19  \_ [kswapd0]
root          93       2       0       0 S       04:27:19  \_ [ecryptfs-kthread]
root          94       2       0       0 I<      04:27:19  \_ [kworker/R-kthrotld]
root          95       2       0       0 S       04:27:19  \_ [irq/49-ACPI:Ged]
root          96       2       0       0 I<      04:27:19  \_ [kworker/R-acpi_thermal_pm]
root          99       2       0       0 I<      04:27:19  \_ [kworker/R-mld]
root         100       2       0       0 I<      04:27:19  \_ [kworker/R-ipv6_addrconf]
root         101       2       0       0 I<      04:27:19  \_ [kworker/R-kstrp]
root         106       2       0       0 I<      04:27:19  \_ [kworker/u33:0]
root         110       2       0       0 I<      04:27:19  \_ [kworker/R-charger_manager]
root         112       2       0       0 S       04:27:19  \_ [hwrng]
root         446       2       0       0 S       04:27:18  \_ [card0-crtc0]
root         482       2       0       0 S       04:27:18  \_ [scsi_eh_0]
root         483       2       0       0 I<      04:27:18  \_ [kworker/R-scsi_tmf_0]
root         484       2       0       0 S       04:27:18  \_ [usb-storage]
root         485       2       0       0 I<      04:27:18  \_ [kworker/R-uas]
root         513       2       0       0 I<      04:27:17  \_ [kworker/R-kdmflush/252:0]
root         548       2       0       0 I<      04:27:17  \_ [kworker/3:1H-kblockd]
root         558       2       0       0 I<      04:27:17  \_ [kworker/1:1H-kblockd]
root         565       2       0       0 S       04:27:17  \_ [jbd2/dm-0-8]
root         566       2       0       0 I<      04:27:17  \_ [kworker/R-ext4-rsv-conversion]
root         817       2       0       0 I<      04:27:16  \_ [kworker/6:1H-kblockd]
root         868       2       0       0 I<      04:27:16  \_ [kworker/R-kmpathd]
root         869       2       0       0 I<      04:27:16  \_ [kworker/R-kmpath_handlerd]
root         874       2       0       0 I<      04:27:16  \_ [kworker/4:1H-kblockd]
root         897       2       0       0 I<      04:27:16  \_ [kworker/0:1H-kblockd]
root         898       2       0       0 I<      04:27:16  \_ [kworker/5:1H-kblockd]
root         901       2       0       0 I<      04:27:16  \_ [kworker/7:1H-kblockd]
root         913       2       0       0 I<      04:27:16  \_ [kworker/2:1H-kblockd]
root        1155       2       0       0 S       04:27:15  \_ [jbd2/vda2-8]
root        1156       2       0       0 I<      04:27:15  \_ [kworker/R-ext4-rsv-conversion]
root        1379       2       0       0 I<      04:27:15  \_ [kworker/R-cfg80211]
root       73654       2       0       0 I       01:01:59  \_ [kworker/1:1-events]
root       80190       2       0       0 I          45:29  \_ [kworker/4:1-events]
root       80854       2       0       0 I          41:47  \_ [kworker/u32:1-ext4-rsv-conversion]
root       89593       2       0       0 I          35:57  \_ [kworker/u32:2-events_power_efficient]
root       91144       2       0       0 I          34:35  \_ [kworker/6:0-events]
root       96305       2       0       0 I          25:36  \_ [kworker/3:0-events]
root      104197       2       0       0 S          21:10  \_ [psimon]
root      104236       2       0       0 I          21:09  \_ [kworker/2:4-mm_percpu_wq]
root      104239       2       0       0 I          21:09  \_ [kworker/5:5-mm_percpu_wq]
root      104257       2       0       0 I          21:09  \_ [kworker/7:2-events]
root      104283       2       0       0 S          21:08  \_ [psimon]
root      118922       2       0       0 I          20:01  \_ [kworker/u32:3-ext4-rsv-conversion]
root      122017       2       0       0 I          15:56  \_ [kworker/0:1-events]
root      122182       2       0       0 I          15:34  \_ [kworker/7:0-mm_percpu_wq]
root      123453       2       0       0 I          12:15  \_ [kworker/u32:0-ext4-rsv-conversion]
root      124448       2       0       0 I          10:26  \_ [kworker/0:0-events]
root      124577       2       0       0 I          10:18  \_ [kworker/7:1-events]
root      125172       2       0       0 I          09:57  \_ [kworker/6:2-mm_percpu_wq]
root      125184       2       0       0 I          09:47  \_ [kworker/5:0-mm_percpu_wq]
root      125579       2       0       0 I          09:20  \_ [kworker/2:1-mm_percpu_wq]
root      126811       2       0       0 I          07:41  \_ [kworker/u32:5-writeback]
root      126861       2       0       0 I          07:31  \_ [kworker/3:1-mm_percpu_wq]
root      127359       2       0       0 I          06:50  \_ [kworker/4:2-mm_percpu_wq]
root      127914       2       0       0 I          05:55  \_ [kworker/1:0-mm_percpu_wq]
root      128512       2       0       0 I          04:25  \_ [kworker/6:1-events]
root      129717       2       0       0 I          04:01  \_ [kworker/0:2-cgwb_release]
root      130446       2       0       0 I          03:42  \_ [kworker/2:0-mm_percpu_wq]
root      130557       2       0       0 I          03:26  \_ [kworker/5:1-events]
root      131195       2       0       0 I          02:10  \_ [kworker/3:2-events]
root      131561       2       0       0 I          00:57  \_ [kworker/u32:4-flush-252:0]
root      131562       2       0       0 I          00:57  \_ [kworker/u32:6-ext4-rsv-conversion]
root      131563       2       0       0 I          00:57  \_ [kworker/u32:7]
root           1       0       1       1 Ss      04:27:19 /usr/lib/systemd/systemd --system --deserialize=163
root         890       1     890     890 SLsl    04:27:16 /usr/sbin/multipathd -d -s
root        1383       1    1383    1383 Ss      04:27:15 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
_chrony     1484    1383    1383    1383 S       04:27:15  \_ /usr/sbin/chronyd -n -F 1
_chrony     1518    1484    1383    1383 S       04:27:15      \_ /usr/sbin/chronyd -n -F 1
message+    1384       1    1384    1384 Ss      04:27:15 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1391       1    1391    1391 Ss      04:27:15 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1392       1    1392    1392 Ssl     04:27:15 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1395       1    1395    1395 Ss      04:27:15 seatd -g video
root        1400       1    1400    1400 Ss      04:27:15 /usr/lib/systemd/systemd-logind
