USER         PID    PPID    PGID     SID STAT     ELAPSED COMMAND
root           2       0       0       0 S       04:27:19 [kthreadd]
root        1452       1    1452    1452 Ss      04:27:15 /usr/sbin/cron -f -P
syslog      1460       1    1460    1460 Ssl     04:27:15 /usr/sbin/rsyslogd -n -iNONE
root        1500       1    1500    1500 Ssl     04:27:15 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1507       1    1507    1507 Ss+     04:27:15 /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d --keep-baud 115200,57600,38400,9600 - vt220
root        1543       1    1543    1543 Ssl     04:27:15 /usr/sbin/ModemManager
root        1547       1    1547    1547 Ss      04:27:15 login -- ubuntu
ubuntu      2216    1547    2216    2216 Ss+     04:24:56  \_ -bash
ubuntu      2193       1    2193    2193 Ss      04:24:57 /usr/lib/systemd/systemd --user --deserialize=12
ubuntu      2198    2193    2193    2193 S       04:24:56  \_ (sd-pam)
ubuntu     18674    2193   18674   18674 Ss      03:49:59  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ubuntu     21677       1   21638   21638 S       03:48:27 Xvfb :99 -screen 0 1280x800x24 -nolisten tcp
ubuntu     33740       1   33740   33740 Ss+     03:23:29 /bin/bash
ubuntu     34005       1   34005   34005 Ss+     03:22:56 /bin/bash
ubuntu     34497       1   34497   34497 Ss+     03:18:10 /bin/bash
ubuntu     57045       1   57045   57045 Ss+     02:26:18 /bin/bash
ubuntu     60813       1   60813   60813 Ss+     02:20:32 /bin/bash
ubuntu     61347       1   61347   61347 Ss+     02:18:22 /bin/bash
ubuntu     61919       1   61919   61919 Ss+     02:16:35 /bin/bash
ubuntu     95579       1   95579   95579 Ss+        27:54 /bin/bash
root      104215       1  104215  104215 S<s        21:09 /usr/lib/systemd/systemd-journald
root      104221       1  104221  104221 Ss         21:09 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root      132153  104221  132153  132153 Ss         00:01  \_ sshd-session: ubuntu [priv]
ubuntu    132216  132153  132153  132153 S          00:00      \_ sshd-session: ubuntu@notty
ubuntu    132217  132216  132217  132217 Ss         00:00          \_ bash -c artifact=/home/ubuntu/qa/2026-08-01-utm-native-kit-r6; runtime=$(find /run/user/1000/slopos-i -mindepth 1 -maxdepth 1 -type d -name "session-*" -print -quit); printf "%s\n" "$runtime" > "$artifact/runtime-dir.txt"; cat "$runtime/readiness" > "$artifact/readiness.txt"; cat "$runtime/client-wayland-display" >> "$artifact/readiness.txt"; find "$runtime" -maxdepth 2 -printf "%M %u %g %s %p\n" | sort > "$artifact/runtime-files.txt"; ps -eo user,pid,ppid,pgid,sid,stat,etime,args --forest > "$artifact/process-tree.txt"; { printf "runtime=%s\n" "$runtime"; cat "$runtime/readiness"; printf "\nprocess-environments\n"; for pid in $(pgrep -f "slopos-session|slopos-compositor|slopos-shell|target/debug/(finder|settings|textedit|terminal|appstore)"); do printf "PID=%s\n" "$pid"; tr "\\0" "\\n" < "/proc/$pid/environ" | grep -E "^(WAYLAND_DISPLAY|XDG_RUNTIME_DIR|SLOPOS_|DISPLAY|LIBGL|GALLIUM)=" | sort || true; done; } > "$artifact/process-environments.txt"; { find "$runtime" -type s -ls; ss -lx | grep -E "slopos|wayland-" || true; } > "$artifact/sockets.txt"; if [ -f "$runtime/active-toplevel" ]; then cat "$runtime/active-toplevel" > "$artifact/active-toplevel-initial.txt"; fi; printf "runtime=%s\n" "$runtime"; cat "$runtime/readiness"
ubuntu    132224  132217  132217  132217 R          00:00              \_ ps -eo user,pid,ppid,pgid,sid,stat,etime,args --forest
systemd+  104253       1  104253  104253 Ss         21:09 /usr/lib/systemd/systemd-resolved
root      104262       1  104262  104262 Ssl        21:09 /usr/libexec/fwupd/fwupd
root      104265       1  104265  104265 Ss         21:09 /usr/lib/systemd/systemd-udevd
root      104266       1  104266  104266 Ssl        21:09 /usr/libexec/udisks2/udisksd
systemd+  104284       1  104284  104284 Ss         21:08 /usr/lib/systemd/systemd-networkd
ubuntu    131508       1  131507  131507 S          00:59 target/debug/slopos-session --backend drm
ubuntu    131509  131508  131509  131507 Sl         00:59  \_ /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/slopos-compositor --backend drm
ubuntu    131512  131508  131512  131507 Sl         00:58  \_ /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/slopos-shell
ubuntu    131523  131512  131512  131507 Sl         00:58      \_ /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/finder
ubuntu    131881       1  131879  131879 Sl         00:28 /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/settings
ubuntu    131887       1  131879  131879 Sl         00:27 /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/textedit
ubuntu    131943       1  131879  131879 Sl         00:27 /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/terminal
ubuntu    131946  131943  131946  131946 Ss+        00:27  \_ /bin/bash
ubuntu    131993       1  131879  131879 Sl         00:26 /home/ubuntu/qa/2026-08-01-utm-native-kit-r6/source/target/debug/appstore
