USER         PID    PPID    PGID     SID STAT     ELAPSED   RSS %CPU COMMAND
root         101       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-kstrp]
root         106       2       0       0 I<         52:34     0  0.0  \_ [kworker/u33:0]
root         110       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-charger_manager]
root         112       2       0       0 S          52:34     0  0.0  \_ [hwrng]
root         446       2       0       0 S          52:33     0  0.0  \_ [card0-crtc0]
root         482       2       0       0 S          52:33     0  0.0  \_ [scsi_eh_0]
root         483       2       0       0 I<         52:33     0  0.0  \_ [kworker/R-scsi_tmf_0]
root         484       2       0       0 S          52:33     0  0.0  \_ [usb-storage]
root         485       2       0       0 I<         52:33     0  0.0  \_ [kworker/R-uas]
root         513       2       0       0 I<         52:32     0  0.0  \_ [kworker/R-kdmflush/252:0]
root         548       2       0       0 I<         52:32     0  0.0  \_ [kworker/3:1H-kblockd]
root         558       2       0       0 I<         52:32     0  0.0  \_ [kworker/1:1H-kblockd]
root         565       2       0       0 S          52:32     0  0.0  \_ [jbd2/dm-0-8]
root         566       2       0       0 I<         52:32     0  0.0  \_ [kworker/R-ext4-rsv-conversion]
root         817       2       0       0 I<         52:32     0  0.0  \_ [kworker/6:1H-kblockd]
root         849       2       0       0 S          52:31     0  0.0  \_ [psimon]
root         868       2       0       0 I<         52:31     0  0.0  \_ [kworker/R-kmpathd]
root         869       2       0       0 I<         52:31     0  0.0  \_ [kworker/R-kmpath_handlerd]
root         874       2       0       0 I<         52:31     0  0.0  \_ [kworker/4:1H-kblockd]
root         897       2       0       0 I<         52:31     0  0.0  \_ [kworker/0:1H-kblockd]
root         898       2       0       0 I<         52:31     0  0.0  \_ [kworker/5:1H-kblockd]
root         901       2       0       0 I<         52:31     0  0.0  \_ [kworker/7:1H-kblockd]
root         913       2       0       0 I<         52:31     0  0.0  \_ [kworker/2:1H-kblockd]
root         925       2       0       0 S          52:31     0  0.0  \_ [psimon]
root        1155       2       0       0 S          52:30     0  0.0  \_ [jbd2/vda2-8]
root        1156       2       0       0 I<         52:30     0  0.0  \_ [kworker/R-ext4-rsv-conversion]
root        1379       2       0       0 I<         52:30     0  0.0  \_ [kworker/R-cfg80211]
root        2372       2       0       0 I          46:06     0  0.5  \_ [kworker/2:1-events]
root       13292       2       0       0 I          34:28     0  0.1  \_ [kworker/4:0-events]
root       13584       2       0       0 I          31:26     0  0.3  \_ [kworker/1:2-events]
root       13597       2       0       0 I          31:14     0  0.1  \_ [kworker/u32:3-events_unbound]
root       15276       2       0       0 I          23:40     0  0.1  \_ [kworker/6:1-events]
root       15279       2       0       0 I          23:00     0  0.1  \_ [kworker/7:1-events]
root       15343       2       0       0 I          19:28     0  0.0  \_ [kworker/0:2-events]
root       15425       2       0       0 I          18:39     0  0.0  \_ [kworker/u32:4-events_unbound]
root       15487       2       0       0 I          18:30     0  0.0  \_ [kworker/5:2-events]
root       21818       2       0       0 I          13:25     0  0.0  \_ [kworker/1:1-events]
root       22432       2       0       0 I          12:19     0  0.0  \_ [kworker/3:1-events]
root       22737       2       0       0 I          11:32     0  0.0  \_ [kworker/4:1-mm_percpu_wq]
root       23320       2       0       0 I          07:30     0  0.0  \_ [kworker/u32:0-flush-252:0]
root       23637       2       0       0 I          05:40     0  0.0  \_ [kworker/7:0-events]
root       23652       2       0       0 I          05:34     0  0.0  \_ [kworker/3:2-events]
root       23749       2       0       0 I          05:08     0  0.0  \_ [kworker/6:0-events]
root       23757       2       0       0 I          05:07     0  0.0  \_ [kworker/2:0-cgroup_free]
root       23758       2       0       0 I          05:06     0  0.0  \_ [kworker/5:1-events]
root       23759       2       0       0 I          05:04     0  0.0  \_ [kworker/0:0-events]
root       23760       2       0       0 I          04:55     0  0.0  \_ [kworker/1:0-cgroup_free]
root       23881       2       0       0 I          04:47     0  0.0  \_ [kworker/u32:1-events_unbound]
root       24189       2       0       0 I          04:40     0  0.0  \_ [kworker/4:2-events]
root       27287       2       0       0 I          01:48     0  0.0  \_ [kworker/u32:5]
root       27288       2       0       0 I          01:48     0  0.0  \_ [kworker/u32:6-ext4-rsv-conversion]
root           1       0       1       1 Ss         52:34  9444  0.1 /usr/lib/systemd/systemd --switched-root --system --deserialize=51
root         857       1     857     857 S<s        52:31 15312  0.1 /usr/lib/systemd/systemd-journald
root         890       1     890     890 SLsl       52:31 17432  0.0 /usr/sbin/multipathd -d -s
systemd+     914       1     914     914 Ss         52:31  3516  0.0 /usr/lib/systemd/systemd-resolved
root         923       1     923     923 Ss         52:31  3028  0.0 /usr/lib/systemd/systemd-udevd
systemd+    1353       1    1353    1353 Ss         52:30  5828  0.0 /usr/lib/systemd/systemd-networkd
root        1383       1    1383    1383 Ss         52:30  1432  0.0 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
_chrony     1484    1383    1383    1383 S          52:30  2740  0.0  \_ /usr/sbin/chronyd -n -F 1
_chrony     1518    1484    1383    1383 S          52:30  1160  0.0      \_ /usr/sbin/chronyd -n -F 1
message+    1384       1    1384    1384 Ss         52:30  4100  0.0 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1391       1    1391    1391 Ss         52:30  2784  0.0 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1392       1    1392    1392 Ssl        52:30 11640  0.2 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1395       1    1395    1395 Ss         52:30  1596  0.0 seatd -g video
root        1400       1    1400    1400 Ss         52:30  5308  0.0 /usr/lib/systemd/systemd-logind
root        1401       1    1401    1401 Ssl        52:30 12252  0.0 /usr/libexec/udisks2/udisksd
root        1452       1    1452    1452 Ss         52:30  2044  0.0 /usr/sbin/cron -f -P
syslog      1460       1    1460    1460 Ssl        52:30  3448  0.1 /usr/sbin/rsyslogd -n -iNONE
root        1500       1    1500    1500 Ssl        52:30  2884  0.0 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1507       1    1507    1507 Ss+        52:30  1804  0.0 /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d --keep-baud 115200,57600,38400,9600 - vt220
root        1543       1    1543    1543 Ssl        52:30  7404  0.0 /usr/sbin/ModemManager
root        1547       1    1547    1547 Ss         52:30  2256  0.0 login -- ubuntu
ubuntu      2216    1547    2216    2216 Ss+        50:11  1688  0.0  \_ -bash
root        1642       1    1642    1642 Ss         51:44  4772  0.0 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root       27540    1642   27540   27540 Ss         00:00 12964  3.7  \_ sshd-session: ubuntu [priv]
ubuntu     27596   27540   27540   27540 S          00:00  8960  0.0      \_ sshd-session: ubuntu@notty
