2026-08-02T07:19:34+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.6 872960
  16190 finder           1.3 349604
  17282 settings         2.4 343792
  17323 terminal         1.1 361796
2026-08-02T07:20:20+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.6 872960
  16190 finder           1.3 349604
  17282 settings         2.4 343792
  17323 terminal         1.1 361796
2026-08-02T07:20:22+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.5 872960
  16190 finder           1.3 349604
  17282 settings         2.4 343792
  17323 terminal         1.1 361796
2026-08-02T07:20:24+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.5 872960
  16190 finder           1.3 349604
  17282 settings         2.4 343792
  17323 terminal         1.0 361796
2026-08-02T07:20:26+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.4 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.0 361796
2026-08-02T07:20:28+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.4 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.0 361796
2026-08-02T07:20:30+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.3 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.3 341620
2026-08-02T07:20:32+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.3 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.7 395056
2026-08-02T07:20:34+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.3 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.7 395056
2026-08-02T07:20:36+00:00
  16166 slopos-session   0.1  2068
  16168 slopos-visiond   0.2 26124
  16169 slopos-composit  1.5 115196
  16179 slopos-shell    15.2 872960
  16190 finder           1.3 349604
  17282 settings         2.3 343792
  17323 terminal         1.7 395056
