timestamp
2026-08-02T07:51:57+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  1.0 114260
  31175 slopos-shell     8.5 837112
  31713 finder           1.0 313760
  31714 settings         1.3 290892
  31715 terminal         7.6 339644
2026-08-02T07:52:41+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  1.0 114260
  31175 slopos-shell     8.4 837028
  31713 finder           1.0 313760
  31714 settings         1.3 290892
  31715 terminal         7.5 339644
2026-08-02T07:52:43+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  1.0 114260
  31175 slopos-shell     8.4 837028
  31713 finder           1.0 313760
  31714 settings         1.3 290892
  31715 terminal         7.5 339644
2026-08-02T07:52:45+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  1.0 114260
  31175 slopos-shell     8.4 837028
  31713 finder           1.0 313760
  31714 settings         1.3 290892
  31715 terminal         7.4 339644
2026-08-02T07:52:47+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.3 837028
  31713 finder           1.0 313760
  31714 settings         1.3 290892
  31715 terminal         7.4 339644
2026-08-02T07:52:49+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.3 837108
  31713 finder           1.0 328068
  31714 settings         1.3 290892
  31715 terminal         7.3 339644
2026-08-02T07:52:51+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.2 837028
  31713 finder           1.0 328068
  31714 settings         1.3 290892
  31715 terminal         7.3 339644
2026-08-02T07:52:53+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.2 837028
  31713 finder           1.0 328068
  31714 settings         1.3 290892
  31715 terminal         7.2 339644
2026-08-02T07:52:55+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.2 837028
  31713 finder           1.0 328068
  31714 settings         1.3 290892
  31715 terminal         7.1 339644
2026-08-02T07:52:58+00:00
  31161 slopos-session   0.0  2064
  31164 slopos-visiond   0.0 24736
  31165 slopos-composit  0.9 114260
  31175 slopos-shell     8.1 837028
  31713 finder           1.0 328068
  31714 settings         1.2 290892
  31715 terminal         7.1 339644
