sample,epoch,pid,comm,cpu_pct,rss_kb,elapsed_s
13,1785589164, 274984 terminal         0.4 219692    172
14,1785589166, 273979 slopos-session   0.1  1888     447
14,1785589166, 273985 slopos-composit  0.5 100988    447
14,1785589166, 273987 slopos-shell     4.4 665696    447
14,1785589166, 273998 finder           0.3 307332    447
14,1785589166, 274965 textedit         0.3 223612    174
14,1785589166, 274979 appstore         0.3 188492    174
14,1785589166, 274982 settings         0.3 189128    174
14,1785589166, 274984 terminal         0.4 219692    174
15,1785589168, 273979 slopos-session   0.1  1888     449
15,1785589168, 273985 slopos-composit  0.5 100988    449
15,1785589168, 273987 slopos-shell     4.4 665696    449
15,1785589168, 273998 finder           0.3 307332    449
15,1785589168, 274965 textedit         0.3 223612    176
15,1785589168, 274979 appstore         0.3 188492    176
15,1785589168, 274982 settings         0.3 189128    176
15,1785589168, 274984 terminal         0.4 219692    176
16,1785589170, 273979 slopos-session   0.1  1888     452
16,1785589170, 273985 slopos-composit  0.5 100988    452
16,1785589170, 273987 slopos-shell     4.3 665696    451
16,1785589170, 273998 finder           0.3 307332    451
16,1785589170, 274965 textedit         0.3 223612    178
16,1785589170, 274979 appstore         0.3 188492    178
16,1785589170, 274982 settings         0.3 189128    178
16,1785589170, 274984 terminal         0.4 219692    178
17,1785589172, 273979 slopos-session   0.1  1888     454
17,1785589172, 273985 slopos-composit  0.5 100988    454
17,1785589172, 273987 slopos-shell     4.3 665696    453
17,1785589172, 273998 finder           0.3 307332    453
17,1785589172, 274965 textedit         0.3 223612    180
17,1785589172, 274979 appstore         0.3 188492    180
17,1785589172, 274982 settings         0.3 189128    180
17,1785589172, 274984 terminal         0.4 219692    180
18,1785589174, 273979 slopos-session   0.1  1888     456
18,1785589174, 273985 slopos-composit  0.5 100988    456
18,1785589174, 273987 slopos-shell     4.3 665696    455
18,1785589174, 273998 finder           0.3 307332    455
18,1785589174, 274965 textedit         0.3 223612    183
18,1785589174, 274979 appstore         0.3 188492    182
18,1785589174, 274982 settings         0.3 189128    182
18,1785589174, 274984 terminal         0.4 219692    182
19,1785589176, 273979 slopos-session   0.1  1888     458
19,1785589176, 273985 slopos-composit  0.5 100988    458
19,1785589176, 273987 slopos-shell     4.3 665696    457
19,1785589176, 273998 finder           0.3 307332    457
19,1785589176, 274965 textedit         0.3 223612    185
19,1785589176, 274979 appstore         0.3 188492    185
19,1785589176, 274982 settings         0.3 189128    185
19,1785589176, 274984 terminal         0.4 219692    185
20,1785589178, 273979 slopos-session   0.1  1888     460
20,1785589178, 273985 slopos-composit  0.5 100988    460
20,1785589178, 273987 slopos-shell     4.3 665696    459
20,1785589178, 273998 finder           0.3 307332    459
20,1785589178, 274965 textedit         0.3 223612    187
20,1785589178, 274979 appstore         0.3 188492    187
20,1785589178, 274982 settings         0.3 189128    187
20,1785589178, 274984 terminal         0.4 219692    187
21,1785589180, 273979 slopos-session   0.1  1888     462
21,1785589180, 273985 slopos-composit  0.5 100988    462
21,1785589180, 273987 slopos-shell     4.3 665696    461
21,1785589180, 273998 finder           0.3 307332    461
21,1785589180, 274965 textedit         0.3 223612    189
21,1785589180, 274979 appstore         0.3 188492    189
21,1785589180, 274982 settings         0.3 189128    189
21,1785589180, 274984 terminal         0.4 219692    189
22,1785589182, 273979 slopos-session   0.1  1888     464
22,1785589182, 273985 slopos-composit  0.5 100988    464
22,1785589182, 273987 slopos-shell     4.3 665696    463
22,1785589182, 273998 finder           0.3 307332    463
22,1785589182, 274965 textedit         0.3 223612    191
22,1785589182, 274979 appstore         0.3 188492    191
22,1785589182, 274982 settings         0.3 189128    191
22,1785589182, 274984 terminal         0.4 219692    191
23,1785589184, 273979 slopos-session   0.1  1888     466
23,1785589184, 273985 slopos-composit  0.5 100988    466
23,1785589184, 273987 slopos-shell     4.2 665696    466
23,1785589184, 273998 finder           0.3 307332    465
23,1785589184, 274965 textedit         0.3 223612    193
23,1785589184, 274979 appstore         0.3 188492    193
23,1785589184, 274982 settings         0.3 189128    193
23,1785589184, 274984 terminal         0.4 219692    193
24,1785589186, 273979 slopos-session   0.1  1888     468
24,1785589186, 273985 slopos-composit  0.5 100988    468
